Reference Number,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1
5AO0252,1,24/10/2018,709,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5AO1120,2,24/10/2018,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5AO1575,2,24/10/2018,1815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5AP0984,3,25/10/2018,1414,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5AQ0478,2,26/10/2018,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5B51092,1,05/11/2018,1515,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5B61029,2,06/11/2018,1354,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight
5B70355,2,07/11/2018,900,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight
5B71785,1,07/11/2018,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight
5B81395,1,08/11/2018,1722,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight
5B81742,2,08/11/2018,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight
5B91337,2,09/11/2018,1711,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight
5BA1186,2,10/11/2018,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5BA1453,2,10/11/2018,1819,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5BD1206,2,13/11/2018,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight
5BD1869,2,13/11/2018,2053,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight
5BG0100,1,16/11/2018,154,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious
5BJ1430,2,19/11/2018,1430,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight
5BK0232,6,20/11/2018,638,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight
5BK1237,1,20/11/2018,1725,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight
5BM0656,5,22/11/2018,1230,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight
5BM1089,1,22/11/2018,1621,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious
5BM1195,1,22/11/2018,1710,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Serious
